name,lat,long,land_use_id,business_type_id
Maili Nne Station,0.5181645,35.2717107,4,11
Kungut Top Life Pub,0.5680906,35.2341574,4,11
Javan Pub,0.5686833,35.2341735,4,11
Annan's Keg Den,0.5657599,35.2312835,4,12
Amani Pub,0.565493,35.2307631,4,11
Mawindo Pub,0.5685332,35.2342513,4,11
Pub Oregon,0.5680665,35.2338678,4,11
Connection Pub,0.5680477,35.2338517,4,11
California Pub & Butchery,0.5695868,35.2334017,4,11
Fly Over Bar And Restaurant,0.5601586,35.2399124,4,8
Annas Bar,0.5680124,35.2347381,4,7
Kokwet Corner Bar,0.568167,35.2340092,4,7
Checkpoint Bar 'N' Restaurant,0.5660803,35.2321933,4,8
Mje Mje Bar,0.5663231,35.2322209,4,7
Bar 'N' Lodge,0.5659697,35.2322845,4,13
Itisi Bar & Restaurant Boarding & Lodging,0.5657206,35.231205,4,13
Waterloo Club & Lodge,0.5663285,35.2322598,4,13
Lessos Bar,0.565776,35.2317193,4,7
Indiana Wines & Spirits,0.5680416,35.2339328,4,10
Ruby's Wines & Spirits,0.5694688,35.2334617,4,10
Malindi Cafe,0.5684688,35.2343023,4,14
Lakers Cafe,0.5680893,35.2346724,4,14
Micro Bytes Cafe,0.5675183,35.2343033,4,14
Green Cafe,0.5670956,35.2335164,4,14
Little Chef,0.5669346,35.2330802,4,14
Ebeneza Cafe,0.5668703,35.2331248,4,14
Zayuni Cafe,0.5672283,35.234258,4,14
Sunrise Bar,0.4757356,35.2621637,4,7
7 Up Bar,0.4828187,35.2561516,4,7
Kajembe Village Inn,0.4746839,35.2539575,4,7
Benom Bar & Butchery,0.4741609,35.2550545,4,8
Venus Inn,0.5105371,35.2750909,5,8
Signature Club & Restaurant,0.516168,35.2734277,5,8
Eldoret Club,0.5009926,35.2938798,5,15
Club Tilja Eldoret,0.5159176,35.2755198,5,15
Sixty Four Resort & Sporting Club,0.500923,35.2758068,4,15
New Speener'z Pub & Restaurant,0.4742601,35.2533784,4,11
Tipsy Pub,0.4747432,35.252898,4,11
Vision Parlour Pub,0.4751907,35.253425,4,11
Lake Breeze Pub,0.4834785,35.2563983,4,11
Kisumu Ndogo Pub And Restaurant,0.4848125,35.2571245,4,11
Egesa Poa Pub,0.4845702,35.2577314,4,11
Home Pub,0.4847116,35.2582128,4,11
The New Regal Club,0.4847579,35.2581498,4,11
Benom Wines & Spirits,0.4741743,35.2550036,4,10
Winkkers Wines & Spirits,0.4845031,35.2571252,4,10
Lyeo Cafe,0.4848142,35.2568999,4,14
Starbucks Hotel Eldoret,0.4742521,35.2611995,4,14
Gacheri -Mama Kuku,0.4737327,35.261294,4,14
Nice Cafe,0.4750755,35.2536571,4,14
Naiberi Annex Inn,0.4783624,35.2544819,4,14
Flamingo Cafe,0.4789618,35.2549767,4,14
Fish Point Cafe,0.4792706,35.25497,4,14
Village Inn Cafe,0.4807897,35.2556164,4,14
Roxy Restaurant,0.4813328,35.2556071,4,14
Remba Restaurant,0.4828911,35.2561596,4,14
