name,lat,long,community_amenity_type_id
The Community Church Maili Nne,0.5665189,35.2325159,5
Power Explosion Ministry,0.5673115,35.2353752,5
Kings Outreach Church Maili Nne,0.5676893,35.2311111,5
Faith Baptist Church M4 Eldoret,0.5702925,35.2325357,5
Seventh Day Adventist Kapkoros,0.5713265,35.2307366,5
Praise Chapel,0.5639699,35.2386203,5
Kings Outreach Church,0.5472673,35.3062735,5
Christ is The Answer Ministries (CITAM) Eldoret,0.5085777,35.2657442,5
Seventh - Day Adventist Church,0.5287293,35.2629955,5
Seventh Day Adventist Church Langas,0.4804391,35.2551492,5
Baharini Police Post,0.5601061,35.2442372,5
St. James Memorial Secondary School,0.5638355,35.2362294,3
Kapyemit Primary School,0.5672082,35.2367498,2
Kapkeben Secondary School,0.5866559,35.2450123,3
Kapsaos Secondary School,0.5506544,35.2219212,3
Akram's Chemist,0.5688881,35.2332646,7
Felly Meds Chemist,0.5678921,35.2344276,7
Emkoin Chemists,0.5674619,35.2343783,7
Evecare Chemist,0.5667073,35.2335257,7
Testai Chemist,0.5668568,35.2336334,7
Chemist,0.5671009,35.2340233,7
Max Chemist,0.4746905,35.2526113,7
Rehema M Centre,0.4821039,35.256064,7
Chemist,0.4821241,35.2559182,7
AIC Malel Academy,0.4723215,35.2581685,2
Bridge International Academy Kona Mbaya,0.4734581,35.2511278,2
PCEA Langas Nursery & Primary Computer School,0.4805573,35.2555591,2
Hill School,0.4952268,35.2728255,3
Langas Primary School,0.4763548,35.2556634,2
Word Of Life Harvest Ministries,0.4735536,35.2587123,5
Goodnews Glory Church,0.4744552,35.2553549,5
ACK Diocese Of Eldoret,0.475575,35.2503489,5
House of Prayer Fellowship,0.4733919,35.2519738,5
Melzedek Gospel Fire Church,0.4753169,35.2534801,5
Siloam Worship Centre,0.4753074,35.2537241,5
Calvary Holiness And Repentance Ministries,0.4760933,35.2533379,5
God's Word & Holy Ghost Church - Akurino,0.4770518,35.2540218,5
Champions Of Christ Church,0.4783915,35.2548382,5
Christco Church Langas,0.4793702,35.2546126,5
Seventh Day Adventist Church Langas,0.4804391,35.2551492,5
P.C.E.A Langas,0.4810995,35.2558357,5
Eldoret Baptist Church,0.4843545,35.2592843,5
A. I. C Pioneer Church,0.5014443,35.2707575,5
Oasis SDA Church,0.4825726,35.2929575,5
Isiah 61 Ministry International Church,0.4901499,35.2910028,5
Bishop Muge Memorial Chapel (BMMC) Church,0.4937165,35.281461,5
AIC Fellowship Annex,0.4744257,35.3012861,5
Moi University School of Law-Annex,0.4814616,35.2981818,4
Neema Children's Home & School,0.4874048,35.2918819,2
Greenvale School,0.4909066,35.2911439,2
Eldoret Premier School,0.4931622,35.2850758,2
Muscare Chemist,0.4807813,35.3017903,7
CHEMIST ANNEX,0.4801939,35.3017692,7
Sokoke Pahrmacy Chemists,0.4790349,35.3023385,7
Annex Medical Clinic,0.4809472,35.3018014,7
Reale Hospital,0.5167993,35.2736503,7
Eldoret Hospital Limited (Providing Health Care Service with Excellence),0.516508,35.279607,7
Cedar Hospital,0.5187002,35.2668029,7
Aga Khan University Hospital Medical Center,0.516313,35.27476,7
Memorial Hospital,0.5133948,35.2814823,7
Moi Teaching And Referral Hospital,0.5115506,35.2804193,7
St. Luke Orthopaedic And Trauma Hospital,0.5100523,35.2839168,7
Shoe4Africa Childrens Hospital,0.5101011,35.280148,7
Fountain Health Care,0.5089297,35.2877157,7
Medical Students Association Of Moi University,0.5093886,35.2882928,7
Mediheal Hospital & Fertility Centre,0.5077101,35.295346,7
Pentecostal Christian Fellowship Churches Of Kenya PCF Munyaka,0.5296177,35.3086645,5
Kapsoya Bible Baptist Church,0.5153392,35.3001622,5
Munyaka - PAG Church,0.5283722,35.3071983,5
Munyaka Happy Church,0.5292,35.3090839,5
Reformed Church of East Africa-Kapsoya,0.5152381,35.2953359,5
Church of God,0.5251906,35.3007513,5
Eldoville SDA Church,0.5185732,35.2925706,5
